Time,Avearage Score,Total Score
1999,195239,570.874269
2000,184412,585.4349206
2001,182075,570.7680251
2002,198940,546.5384615
2003,182057,543.4537313
2004,195933,541.2513812
2005,198032,589.3809524
2006,189389,568.7357357
2007,207171,572.2955801
2008,203541,578.2414773
2009,203083,583.5718391
2010,193550,570.9439528
2011,161018,428.2393617
2012,200446,546.1743869
2013,203969,565.0110803
2014,185465,536.0260116
2015,188246,537.8457143
2016,242838,551.9045455
2017,237757,552.9232558
2018,253551,582.8758621
2019,201297,724.0899281
