Year,Argentinian.Liga.A,Australian.NBL,Austrian.A.Bundesliga,Balkan.BIBL,Balkan.BIL,Belarusian.BPL,Belgium.Scooore.League,Bosnian.BiH.Liga,Brazilian.NBB,British.BBL,Bulgarian.NBL,Canadian.NBL,Chinese.CBA,Croatian.A.1.Liga,Czech.NBL,Danish.Basketligaen,Estonian.Latvian.Basketball.League,Eurocup,Euroleague,FIBA.Europe.Cup,Finnish.Korisliiga,French.Jeep.Elite,Georgian.Super.Liga,German.BBL,Greek.HEBA.A1,Hungarian.NBIA,Israeli.BSL,Italian.Lega.Basket.Serie.A,Japanese.BLeague,Kosovo.FBK,Lebanese.Division.A,Lithuanian.LKL,Luxembourg.Total.League,Macedonian.Superleague,Mexican.LNBP,NBA,Netherlands.DBL,New.Zealand.NBL,Norwegian.BLNO,Polish.TBL,Romanian.Divizia.A,Serbian.KLS,Slovakian.Extraliga,Slovenian.SKL,South.Korean.KBL,Spanish.ACB,Swedish.Basketligan,Swiss.LNA,Turkish.BSL,Ukrainian.Superleague
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195239,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19278,28271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,32383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26263,28614,0,0,0,0,32383,0,0,0,42270,0,0,0,0,0,0,0,182057,0,0,0,0,0,0,0,0,0,44504,0,0,0,0
2005,0,34274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29798,28851,0,0,37002,0,34274,0,0,0,40753,0,0,0,0,0,0,0,195933,0,0,0,0,0,0,0,0,0,42809,0,0,0,0
2006,0,33782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18677,27466,0,0,33041,0,33782,0,0,0,42134,0,0,0,0,0,0,0,198032,0,0,0,0,0,0,0,0,0,41994,0,0,0,0
2007,0,38307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18431,27312,0,0,37564,0,38307,0,0,0,38066,0,0,0,0,0,0,0,189389,0,0,0,0,0,0,0,0,0,41929,0,0,0,0
2008,0,35357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39682,28740,0,0,31124,0,35357,0,0,0,39238,0,0,0,0,0,0,0,207171,0,0,0,0,0,0,0,0,0,42030,0,0,0,0
2009,0,37782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17606,23504,0,0,30748,0,37782,0,0,0,33748,0,0,0,0,0,0,0,203541,0,0,0,0,0,0,0,0,0,37127,0,0,0,0
2010,0,40961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19949,22507,0,0,29643,0,40961,0,0,0,27401,0,0,0,0,0,0,0,203083,0,0,0,0,0,0,0,0,0,38443,0,0,0,0
2011,0,39124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19107,22794,0,0,27711,0,39124,0,0,0,33640,0,0,0,0,0,0,0,193550,0,0,0,0,0,0,0,0,0,37926,0,0,0,0
