Year,Argentinian.Liga.A,Australian.NBL,Austrian.A.Bundesliga,Balkan.BIBL,Balkan.BIL,Belarusian.BPL,Belgium.Scooore.League,Bosnian.BiH.Liga,Brazilian.NBB,British.BBL,Bulgarian.NBL,Canadian.NBL,Chinese.CBA,Croatian.A.1.Liga,Czech.NBL,Danish.Basketligaen,Estonian.Latvian.Basketball.League,Eurocup,Euroleague,FIBA.Europe.Cup,Finnish.Korisliiga,French.Jeep.Elite,Georgian.Super.Liga,German.BBL,Greek.HEBA.A1,Hungarian.NBIA,Israeli.BSL,Italian.Lega.Basket.Serie.A,Japanese.BLeague,Kosovo.FBK,Lebanese.Division.A,Lithuanian.LKL,Luxembourg.Total.League,Macedonian.Superleague,Mexican.LNBP,NBA,Netherlands.DBL,New.Zealand.NBL,Norwegian.BLNO,Polish.TBL,Romanian.Divizia.A,Serbian.KLS,Slovakian.Extraliga,Slovenian.SKL,South.Korean.KBL,Spanish.ACB,Swedish.Basketligan,Swiss.LNA,Turkish.BSL,Ukrainian.Superleague
2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,167,0,0,0,0,93,0,0,0,112,0,0,0,0,0,0,0,335,0,0,0,0,0,0,0,0,0,125,0,0,0,0
2005,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283,163,0,0,121,0,107,0,0,0,114,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,119,0,0,0,0
2006,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,159,0,0,104,0,99,0,0,0,111,0,0,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,126,0,0,0,0
2007,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,161,0,0,110,0,111,0,0,0,108,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,133,0,0,0,0
2008,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,348,165,0,0,102,0,101,0,0,0,112,0,0,0,0,0,0,0,362,0,0,0,0,0,0,0,0,0,134,0,0,0,0
2009,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,170,0,0,102,0,114,0,0,0,105,0,0,0,0,0,0,0,352,0,0,0,0,0,0,0,0,0,125,0,0,0,0
2010,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,165,0,0,98,0,124,0,0,0,93,0,0,0,0,0,0,0,348,0,0,0,0,0,0,0,0,0,126,0,0,0,0
2011,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,173,0,0,93,0,111,0,0,0,106,0,0,0,0,0,0,0,339,0,0,0,0,0,0,0,0,0,130,0,0,0,0
2012,102,119,67,73,0,44,58,80,108,67,53,43,135,90,94,63,0,215,156,0,66,105,0,119,82,81,64,106,0,0,0,81,0,49,66,376,56,54,56,94,78,104,48,80,58,134,63,51,110,75
2013,103,122,65,60,0,51,52,76,113,70,63,46,127,82,85,56,0,211,182,0,78,98,74,122,84,74,73,96,0,0,58,77,53,49,76,367,69,58,51,81,98,112,43,77,65,133,76,60,93,79
2014,105,113,73,50,0,55,66,78,110,70,52,50,122,82,74,53,0,359,168,0,73,104,53,113,92,76,72,96,0,0,53,66,73,48,62,361,66,49,48,66,70,95,53,75,64,125,60,39,100,69
2015,126,114,67,51,0,68,79,69,105,71,48,53,139,78,79,51,0,289,171,0,57,116,45,114,87,75,69,104,0,0,40,68,83,51,65,346,57,47,40,93,65,96,50,70,66,137,68,43,91,64
2016,125,115,59,49,0,58,77,71,94,68,57,51,146,93,77,44,0,294,171,341,54,116,42,115,80,89,73,97,0,0,43,60,79,43,58,350,48,39,68,110,63,107,54,74,49,136,68,57,95,0
2017,118,121,56,74,0,61,69,63,104,77,58,62,134,90,73,50,0,146,119,275,65,114,48,121,72,85,70,99,124,41,46,64,72,58,48,440,50,44,55,109,52,110,63,83,50,128,54,56,92,54
2018,142,130,62,41,0,64,76,72,104,75,58,68,160,89,95,44,0,189,129,269,75,138,71,130,110,98,89,120,135,34,60,75,79,72,67,430,63,53,58,128,85,107,65,100,64,148,55,79,109,56
2019,159,132,77,49,0,67,75,77,98,87,65,87,166,90,94,68,107,180,132,261,75,143,73,132,108,101,95,116,120,58,62,79,89,74,92,435,74,63,67,131,88,135,68,79,60,145,76,71,102,62
2020,208,196,98,0,21,126,98,117,175,83,99,87,297,125,131,107,164,229,237,242,148,188,89,196,155,139,146,170,238,85,62,114,114,90,231,278,88,74,112,166,161,156,93,90,147,224,116,119,185,102
